type,title,date_added,release_year,rating,listed_in
Movie,**Dick Johnson Is Dead**,9/25/2021,2020),",?PG-13",Documentaries
TV Show,**Ganglands**,9/24/2021,2021C,",?TV-MA","Crime TV Shows, International TV Shows, TV Action & Adventure"
TV Show,**Midnight Mass**,9/24/2021,2021c,",?TV-MA","TV Dramas, TV Horror, TV Mysteries"
Movie,**Confessions of an Invisible Girl**,9/22/2021,2021,",?TV-PG","Children & Family Movies, Comedies"
Movie,**Sankofa**,9/24/2021,1993S,",?TV-MA","Dramas, Independent Movies, International Movies"
TV Show,**The Great British Baking Show**,9/24/2021,2021s,",?TV-14","British TV Shows, Reality TV"
,**The Starling**,9/24/2021,2021),",?PG-13","Comedies, Dramas"
Movie,**Motu Patlu in the Game of Zones**,05/01/2021,2019C,",?TV-Y7","Children & Family Movies, Comedies, Music & Musicals"
Movie,**Je Suis Karl**,9/23/2021,2021S,",?TV-MA","Dramas, International Movies"
Movie,**Motu Patlu in Wonderland**,05/01/2021,2013,",?TV-Y7","Children & Family Movies, Music & Musicals"
Movie,**Motu Patlu: Deep Sea Adventure**,05/01/2021,2014s,",?TV-Y7","Children & Family Movies, Comedies"
Movie,**Motu Patlu: Mission Moon**,05/01/2021,2013c,",?TV-Y7","Children & Family Movies, Comedies"
Movie,**99 Songs (Tamil)**,5/21/2021,2021,",?TV-14","Dramas, International Movies, Music & Musicals"
Movie,**Bridgerton - The Afterparty**,7/13/2021,2021,",?TV-14",Movies
Movie,**Bling Empire - The Afterparty**,06/12/2021,2021),",?TV-MA",Movies
Movie,**Cobra Kai - The Afterparty**,06/12/2021,2021(,",?TV-MA",Movies
Movie,**The Circle - The Afterparty**,05/07/2021,2021,",?TV-14",Comedies
,**Jailbirds New Orleans**,9/24/2021,2021),",?TV-MA","Docuseries, Reality TV"
TV Show,**Crime Stories: India Detectives**,9/22/2021,2021),",?TV-MA","British TV Shows, Crime TV Shows, Docuseries"
Movie,**True: Winter Wishes**,11/26/2019,2019C,",?TV-Y",Children & Family Movies
TV Show,**True: Magical Friends**,6/15/2018,2018,",?TV-Y",Kids' TV
TV Show,**True: Wonderful Wishes**,6/15/2018,2018),",?TV-Y",Kids' TV
TV Show,**Dance & Sing with True**,5/18/2018,2018C,",?TV-Y",Kids' TV
Movie,**My Little Pony: A New Generation**,9/24/2021,2021S,",?PG",Children & Family Movies
TV Show,**Bangkok Breaking**,9/23/2021,2021,",?TV-MA","Crime TV Shows, International TV Shows, TV Action & Adventure"
Movie,**Europe's Most Dangerous Man: Otto Skorzeny in Spain**,9/22/2021,2020,",?TV-MA","Documentaries, International Movies"
Movie,**Samudri Lootere**,6/18/2019,2018s,",?TV-Y",Children & Family Movies
TV Show,**Monsters Inside: The 24 Faces of Billy Milligan**,9/22/2021,2021),",?TV-14","Crime TV Shows, Docuseries, International TV Shows"
Movie,**Go! Go! Cory Carson: Chrissy Takes the Wheel**,9/21/2021,2021S,",?TV-Y",Children & Family Movies
,**Jeans**,9/21/2021,1998(,",?TV-14","Comedies, International Movies, Romantic Movies"
Movie,**Grown Ups**,9/20/2021,2010,",?PG-13",Comedies
Movie,**Dark Skies**,9/19/2021,2013(,",?PG-13","Horror Movies, Sci-Fi & Fantasy"
Movie,**Paranoia**,9/19/2021,2013(,",?PG-13",Thrillers
TV Show,**Jaguar**,9/22/2021,2021(,",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
TV Show,**Chicago Party Aunt**,9/17/2021,2021c,",?TV-MA",TV Comedies
TV Show,**Squid Game**,9/17/2021,2021S,",?TV-MA","International TV Shows, TV Dramas, TV Thrillers"
TV Show,**Tayo and Little Wizards**,9/17/2021,2020),",?TV-Y7",Kids' TV
TV Show,**The World's Most Amazing Vacation Rentals**,9/14/2021,2021(,",?TV-PG",Reality TV
TV Show,**Metal Shop Masters**,09/10/2021,2021(,",?TV-MA",Reality TV
TV Show,**Pokémon Master Journeys: The Series**,09/10/2021,2021s,",?TV-Y7","Anime Series, Kids' TV"
TV Show,**Titipo Titipo**,09/10/2021,2019(,",?TV-Y","Kids' TV, Korean TV Shows"
,**Mighty Raju**,09/09/2021,2017(,",?TV-Y7",Kids' TV
TV Show,**Tobot Galaxy Detectives**,09/07/2021,2019C,",?TV-Y7",Kids' TV
TV Show,**Hotel Del Luna**,09/02/2021,2019),",?TV-14","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**Brave Animated Series**,09/01/2021,2021s,",?TV-MA","International TV Shows, TV Action & Adventure, TV Comedies"
TV Show,**How to Be a Cowboy**,09/01/2021,2021c,",?TV-PG",Reality TV
TV Show,**Oldsters**,09/01/2021,2019s,",?TV-MA","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,**Bread Barbershop**,8/28/2021,2020S,",?TV-Y","Kids' TV, TV Comedies"
TV Show,**Turning Point: 9/11 and the War on Terror**,09/01/2021,2021S,",?TV-14",Docuseries
TV Show,**Hometown Cha-Cha-Cha**,8/29/2021,2021,",?TV-14","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**The Ingenuity of the Househusband**,8/29/2021,2021(,",?TV-G","International TV Shows, TV Comedies"
,**Minsara Kanavu**,9/21/2021,1997s,",?TV-PG","Comedies, International Movies, Music & Musicals"
,**Intrusion**,9/22/2021,2021S,",?TV-14",Thrillers
Movie,**Avvai Shanmughi**,9/21/2021,1996c,",?TV-PG","Comedies, International Movies"
Movie,**Ankahi Kahaniya**,9/17/2021,2021,",?TV-14","Dramas, Independent Movies, International Movies"
Movie,**The Father Who Moves Mountains**,9/17/2021,2021S,",?TV-MA","Dramas, International Movies, Thrillers"
Movie,**The Stronghold**,9/17/2021,2021c,",?TV-MA","Action & Adventure, Dramas, International Movies"
Movie,**Birth of the Dragon**,9/16/2021,2017S,",?PG-13","Action & Adventure, Dramas"
TV Show,**The Smart Money Woman**,9/16/2021,2020,",?TV-MA","International TV Shows, Romantic TV Shows, TV Comedies"
Movie,**You vs. Wild: Out Cold**,9/14/2021,2021C,",?TV-G",Children & Family Movies
Movie,**Jaws**,9/16/2021,1975s,",?PG","Action & Adventure, Classic Movies, Dramas"
Movie,**Jaws 2**,9/16/2021,1978),",?PG","Dramas, Horror Movies, Thrillers"
Movie,**Jaws 3**,9/16/2021,1983s,",?PG","Action & Adventure, Horror Movies, Thrillers"
Movie,**Jaws: The Revenge**,9/16/2021,1987c,",?PG-13","Action & Adventure, Horror Movies, Thrillers"
Movie,**Safe House**,9/16/2021,2012c,",?R",Action & Adventure
Movie,**Training Day**,9/16/2021,2001S,",?R","Dramas, Thrillers"
Movie,**Dolly Parton: A MusiCares Tribute**,04/07/2021,2021c,",?TV-PG","Documentaries, Music & Musicals"
TV Show,**Deadly Sins**,8/27/2021,2002C,",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Dramas"
,**InuYasha the Movie 2: The Castle Beyond the Looking Glass**,9/15/2021,2002(,",?TV-14","Action & Adventure, Anime Features, International Movies"
,**InuYasha the Movie 3: Swords of an Honorable Ruler**,9/15/2021,2003,",?TV-14","Action & Adventure, Anime Features, International Movies"
Movie,**InuYasha the Movie 4: Fire on the Mystic Island**,9/15/2021,2004C,",?TV-PG","Action & Adventure, Anime Features, International Movies"
Movie,**InuYasha the Movie: Affections Touching Across Time**,9/15/2021,2001,",?TV-PG","Action & Adventure, Anime Features, International Movies"
TV Show,**I Heart Arlo**,8/27/2021,2021,",?TV-Y7","Kids' TV, TV Comedies"
TV Show,**Nailed It**,9/15/2021,2021(,",?TV-PG",Reality TV
TV Show,**Cat People**,07/07/2021,2021c,",?TV-14",Docuseries
TV Show,**RIDE ON TIME**,8/27/2021,2021),",?TV-PG","Docuseries, International TV Shows"
TV Show,**Titletown High**,8/27/2021,2021S,",?TV-14","Reality TV, Teen TV Shows"
TV Show,**Motel Makeover**,8/25/2021,2021(,",?TV-14","International TV Shows, Reality TV"
TV Show,**Open Your Eyes**,8/25/2021,2021,",?TV-MA","International TV Shows, TV Dramas, TV Mysteries"
TV Show,**Post Mortem: No One Dies in Skarnes**,8/25/2021,2021c,",?TV-MA","International TV Shows, TV Comedies, TV Dramas"
Movie,**My Heroes Were Cowboys**,9/16/2021,2021s,",?PG",Documentaries
Movie,**Naruto Shippuden the Movie: Blood Prison**,9/15/2021,2011s,",?TV-14","Action & Adventure, Anime Features, International Movies"
Movie,**Naruto Shippûden the Movie: Bonds**,9/15/2021,2008,",?TV-PG","Action & Adventure, Anime Features, International Movies"
Movie,**Naruto Shippûden the Movie: The Will of Fire**,9/15/2021,2009(,",?TV-PG","Action & Adventure, Anime Features, International Movies"
,**Naruto Shippuden: The Movie**,9/15/2021,2007,",?TV-PG","Action & Adventure, Anime Features, International Movies"
Movie,**Naruto Shippuden: The Movie: The Lost Tower**,9/15/2021,2010S,",?TV-14","Action & Adventure, Anime Features, International Movies"
Movie,**Naruto the Movie 2: Legend of the Stone of Gelel**,9/15/2021,2005),",?TV-PG","Action & Adventure, Anime Features, International Movies"
Movie,**Naruto the Movie 3: Guardians of the Crescent Moon Kingdom**,9/15/2021,2006(,",?TV-PG","Action & Adventure, Anime Features, International Movies"
Movie,**Naruto the Movie: Ninja Clash in the Land of Snow**,9/15/2021,2004C,",?TV-PG","Action & Adventure, Anime Features, International Movies"
TV Show,**Comedy Premium League**,8/20/2021,2021,",?TV-MA","International TV Shows, TV Comedies"
TV Show,**Everything Will Be Fine**,8/20/2021,2021,",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Comedies"
TV Show,**Korean Cold Noodle Rhapsody**,8/20/2021,2021(,",?TV-PG","Docuseries, International TV Shows"
TV Show,**The Chair**,8/20/2021,2021),",?TV-MA","TV Comedies, TV Dramas"
TV Show,**The Defeated**,8/18/2021,2020),",?TV-MA","Crime TV Shows, International TV Shows, TV Dramas"
TV Show,**Car Masters: Rust to Riches**,08/04/2021,2021C,",?TV-PG",Reality TV
Movie,**King of Boys**,9/14/2021,2018,",?TV-MA","Dramas, International Movies"
TV Show,**Top Secret UFO Projects: Declassified**,08/03/2021,2021c,",?TV-PG",Docuseries
,**Friday Night Lights**,08/01/2021,2010C,",?TV-14","TV Dramas, Teen TV Shows"
TV Show,**Centaurworld**,7/30/2021,2021),",?TV-Y7","Kids' TV, TV Comedies"
TV Show,**Khawatir**,7/30/2021,2009s,",?TV-14","International TV Shows, Reality TV"
TV Show,**Myth & Mogul: John DeLorean**,7/30/2021,2021S,",?TV-14","British TV Shows, Crime TV Shows, Docuseries"
TV Show,**Transformers: War for Cybertron: Kingdom**,7/29/2021,2021C,",?TV-Y7",Anime Series
TV Show,**Tattoo Redo**,7/28/2021,2021C,",?TV-MA",Reality TV
TV Show,**The Snitch Cartel: Origins**,7/28/2021,2021,",?TV-MA","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,**Feels Like Ishq**,7/23/2021,2021,",?TV-MA","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**How to Become a Tyrant**,07/09/2021,2021,",?TV-MA",Docuseries
Movie,**Kate**,09/10/2021,2021s,",?R",Action & Adventure
Movie,**Omo Ghetto: the Saga**,09/10/2021,2020),",?TV-MA","Action & Adventure, Comedies, Dramas"
Movie,**Prey**,09/10/2021,2021s,",?TV-MA","International Movies, Thrillers"
TV Show,**Revelations: The Masters of the Universe: Revelation Aftershow**,7/23/2021,2021,",?TV-PG","Anime Series, Stand-Up Comedy & Talk Shows"
Movie,**9to5: The Story of a Movement**,7/22/2021,2021S,",?TV-MA",Documentaries
Movie,**Paradise Hills**,09/09/2021,2019),",?TV-MA","Sci-Fi & Fantasy, Thrillers"
,**The Women and the Murderer**,09/09/2021,2021c,",?TV-14","Documentaries, International Movies"
TV Show,**Sexy Beasts**,7/21/2021,2021s,",?TV-14","British TV Shows, International TV Shows, Reality TV"
Movie,**Show Dogs**,09/08/2021,2018,",?PG","Children & Family Movies, Comedies"
Movie,**Why Did You Kill Me?**,4/14/2021,2021(,",?TV-MA",Documentaries
TV Show,**Too Hot to Handle: Brazil**,7/21/2021,2021,",?TV-MA","International TV Shows, Reality TV, Romantic TV Shows"
TV Show,**Touch Your Heart**,7/20/2021,2019,",?TV-MA","Crime TV Shows, International TV Shows, Romantic TV Shows"
TV Show,**My Unorthodox Life**,7/14/2021,2021C,",?TV-MA",Reality TV
TV Show,**The Cook of Castamar**,07/09/2021,2021(,",?TV-MA","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
TV Show,**Elize Matsunaga: Once Upon a Crime**,07/08/2021,2021C,",?TV-MA","Crime TV Shows, Docuseries, International TV Shows"
TV Show,**The War Next-door**,07/07/2021,2021S,",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Comedies"
TV Show,**Big Timber**,07/02/2021,2020s,",?TV-14","International TV Shows, Reality TV"
TV Show,**Generation 56k**,07/01/2021,2021,",?TV-MA","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**Sailor Moon Crystal**,07/01/2021,2016S,",?TV-Y7","Anime Series, Kids' TV"
TV Show,**Godzilla Singular Point**,6/24/2021,2021c,",?TV-14","Anime Series, International TV Shows"
,**Sisters on Track**,6/24/2021,2021,",?PG","Documentaries, Sports Movies"
TV Show,**The Parisian Agency: Exclusive Properties**,6/23/2021,2021s,",?TV-G","International TV Shows, Reality TV"
Movie,**Little Singham - Black Shadow**,09/11/2021,2021,",?TV-Y7","Children & Family Movies, Comedies"
Movie,**Firedrake the Silver Dragon**,09/10/2021,2021C,",?TV-Y7",Children & Family Movies
Movie,**Tughlaq Durbar**,09/11/2021,2020(,",?TV-14","Comedies, Dramas, International Movies"
Movie,**Tughlaq Durbar (Telugu)**,09/11/2021,2021S,",?TV-14","Comedies, Dramas, International Movies"
Movie,**Blood Brothers: Malcolm X & Muhammad Ali**,09/09/2021,2021S,",?PG-13","Documentaries, Sports Movies"
Movie,**JJ+E**,09/08/2021,2021,",?TV-MA","Dramas, International Movies, Romantic Movies"
Movie,**Worth**,09/03/2021,2021(,",?PG-13",Dramas
Movie,**If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd**,09/07/2021,2018C,",?TV-MA","Documentaries, Music & Musicals"
Movie,**Afterlife of the Party**,09/02/2021,2021(,",?TV-PG","Comedies, Romantic Movies"
TV Show,**This Is Pop**,6/22/2021,2021s,",?TV-MA","Docuseries, International TV Shows"
TV Show,"**Nevertheless,**",6/20/2021,2021,",?TV-14","International TV Shows, Romantic TV Shows, TV Dramas"
,**Human: The World Within**,06/04/2021,2021s,",?TV-PG","Docuseries, Science & Nature TV"
Movie,**Untold: Breaking Point**,09/07/2021,2021,",?TV-MA","Documentaries, Sports Movies"
TV Show,**Charité at War**,6/19/2021,2019c,",?TV-MA","International TV Shows, TV Dramas"
Movie,**Angamaly Diaries**,09/05/2021,2017(,",?TV-14","Action & Adventure, Comedies, Dramas"
TV Show,**Elite Short Stories: Carla Samuel**,6/17/2021,2021,",?TV-MA","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Movie,**A Champion Heart**,09/04/2021,2018S,",?G","Children & Family Movies, Dramas"
TV Show,**Record of Ragnarok**,6/17/2021,2021C,",?TV-MA","Anime Series, International TV Shows"
TV Show,**Elite Short Stories: Omar Ander Alexis**,6/16/2021,2021,",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Dramas"
TV Show,**Penguin Town**,6/16/2021,2021,",?TV-PG","Docuseries, Science & Nature TV"
Movie,**Anjaam**,09/02/2021,1994(,",?TV-14","Dramas, International Movies, Thrillers"
TV Show,**Beyond Evil**,6/15/2021,2021),",?TV-MA","Crime TV Shows, International TV Shows, TV Thrillers"
TV Show,**Elite Short Stories: Nadia Guzmán**,6/15/2021,2021C,",?TV-MA","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Movie,**Headspace: Unwind Your Mind**,6/15/2021,2021,",?TV-G",Documentaries
TV Show,**Rhyme Time Town**,6/15/2021,2021C,",?TV-Y",Kids' TV
TV Show,**Elite Short Stories: Guzmán Caye Rebe**,6/14/2021,2021c,",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,**To All the Boys: Always and Forever - The Afterparty**,06/12/2021,2021),",?TV-MA",Movies
Movie,**Trese After Dark**,06/11/2021,2021C,",?TV-14","Anime Features, Documentaries"
TV Show,**Guru Aur Bhole**,06/08/2021,2018(,",?TV-Y7","Kids' TV, TV Comedies"
TV Show,**High on the Hog: How African American Cuisine Transformed America**,5/26/2021,2021,",?TV-14",Docuseries
TV Show,**Mad for Each Other**,5/24/2021,2021c,",?TV-MA","International TV Shows, Romantic TV Shows, TV Comedies"
Movie,**Sam Smith: Love Goes - Live at Abbey Road Studios**,5/22/2021,2020),",?TV-G","International Movies, Music & Musicals"
TV Show,**Miniforce: Super Dino Power**,05/01/2021,2020C,",?TV-Y7",Kids' TV
TV Show,**Barney and Friends**,05/01/2021,2010(,",?TV-Y",Kids' TV
TV Show,**Pet Stars**,4/30/2021,2021s,",?TV-PG",Reality TV
,**The Unremarkable Juanquini**,4/30/2021,2021),",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Comedies"
TV Show,**Yasuke**,4/29/2021,2021(,",?TV-MA","Anime Series, International TV Shows"
TV Show,**Headspace Guide to Sleep**,4/28/2021,2021,",?TV-G","Docuseries, Science & Nature TV"
TV Show,**Countdown: Inspiration4 Mission to Space**,09/06/2021,2021),",?TV-14","Docuseries, Science & Nature TV"
Movie,**Shadow Parties**,09/06/2021,2020(,",?TV-MA","Dramas, International Movies, Thrillers"
TV Show,**Money Heist: From Tokyo to Berlin**,09/03/2021,2021c,",?TV-MA","Docuseries, International TV Shows, Spanish-Language TV Shows"
Movie,**Bright Star**,09/02/2021,2009s,",?PG","Dramas, Romantic Movies"
Movie,**Dhanak**,09/02/2021,2015s,",?TV-PG","Comedies, Dramas, Independent Movies"
Movie,**Final Account**,09/02/2021,2021),",?PG-13",Documentaries
Movie,**Gurgaon**,09/02/2021,2017,",?TV-14","Dramas, International Movies, Thrillers"
Movie,**Here and There**,09/02/2021,2020,",?TV-MA","Dramas, International Movies, Romantic Movies"
Movie,**Agatha Christie's Crooked House**,09/01/2021,2017c,",?PG-13","Dramas, International Movies, Thrillers"
Movie,**In the Cut**,09/02/2021,2003s,",?R",Thrillers
Movie,**Keymon and Nani in Space Adventure**,4/20/2021,2013c,",?TV-Y","Children & Family Movies, Comedies"
Movie,**Rudra: The Rise of King Pharaoh**,4/20/2021,2019S,",?TV-Y7",Children & Family Movies
TV Show,**Bakugan: Geogan Rising**,4/16/2021,2021s,",?TV-Y7","Anime Series, Kids' TV"
Movie,**Shikara**,09/02/2021,2020,",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**A Cinderella Story**,09/01/2021,2004(,",?PG","Children & Family Movies, Comedies"
Movie,**An Unfinished Life**,09/01/2021,2005c,",?PG-13",Dramas
Movie,**Blade Runner: The Final Cut**,09/01/2021,1982C,",?R","Action & Adventure, Classic Movies, Cult Movies"
Movie,**Dad Stop Embarrassing Me - The Afterparty**,4/16/2021,2021(,",?TV-14",Comedies
Movie,**Chappie**,09/01/2021,2015S,",?R","Action & Adventure, Sci-Fi & Fantasy"
Movie,**Janoskians: Untold and Untrue**,09/01/2021,2016c,",?TV-MA",Comedies
TV Show,**Dancing Angels**,4/15/2021,2016(,",?TV-PG","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**Don't be the First one**,04/11/2021,2021(,",?TV-14","International TV Shows, Reality TV"
TV Show,**The Wedding Coach**,04/07/2021,2021C,",?TV-MA","Reality TV, Romantic TV Shows"
TV Show,**This Is a Robbery: The World's Biggest Art Heist**,04/07/2021,2021s,",?TV-MA","Crime TV Shows, Docuseries, TV Mysteries"
TV Show,**Glimpses of a Future**,04/01/2021,2020s,",?TV-PG","Docuseries, International TV Shows"
TV Show,**Alien TV**,3/19/2021,2021),",?TV-Y7","Kids' TV, TV Comedies"
TV Show,**Last Chance U: Basketball**,03/10/2021,2021,",?TV-MA",Docuseries
TV Show,**Marriage or Mortgage**,03/10/2021,2021C,",?TV-G","Reality TV, Romantic TV Shows"
TV Show,**Pokémon Journeys: The Series**,03/05/2021,2021,",?TV-Y7","Anime Series, Kids' TV, TV Action & Adventure"
Movie,**Barbie Big City Big Dreams**,09/01/2021,2021C,",?TV-Y","Children & Family Movies, Music & Musicals"
Movie,**Clear and Present Danger**,09/01/2021,1994),",?PG-13","Action & Adventure, Dramas"
Movie,**Cliffhanger**,09/01/2021,1993,",?R",Action & Adventure
Movie,**Cold Mountain**,09/01/2021,2003,",?R","Dramas, Romantic Movies"
Movie,**Crocodile Dundee in Los Angeles**,09/01/2021,2001(,",?PG","Action & Adventure, Comedies"
Movie,**Dear John**,09/01/2021,2010),",?PG-13","Dramas, Romantic Movies"
Movie,**Do the Right Thing**,09/01/2021,1989,",?R","Classic Movies, Comedies, Dramas"
Movie,"**El patrón, radiografía de un crimen**",09/01/2021,2014,",?TV-MA","Dramas, International Movies, Thrillers"
Movie,**Extraction**,09/01/2021,2015s,",?R",Action & Adventure
Movie,**Freedom Writers**,09/01/2021,2007(,",?PG-13",Dramas
Movie,**Green Lantern**,09/01/2021,2011(,",?PG-13","Action & Adventure, Sci-Fi & Fantasy"
Movie,**House Party**,09/01/2021,1990,",?R","Comedies, Cult Movies"
Movie,**House Party 2**,09/01/2021,1991c,",?R","Comedies, Cult Movies, Music & Musicals"
Movie,**House Party 3**,09/01/2021,1994),",?R","Comedies, Music & Musicals"
Movie,**Ginny & Georgia - The Afterparty**,2/26/2021,2021c,",?TV-MA","Comedies, Dramas"
,**I Got the Hook Up**,09/01/2021,1998(,",?R","Action & Adventure, Comedies"
Movie,**In Too Deep**,09/01/2021,1999c,",?R",Thrillers
Movie,**Initial D**,09/01/2021,2005,",?TV-14","Action & Adventure, International Movies"
TV Show,**The Last Bastion**,2/25/2021,2018),",?TV-MA","International TV Shows, Spanish-Language TV Shows, TV Dramas"
TV Show,**Thus Spoke Kishibe Rohan**,2/18/2021,2021),",?TV-MA","Anime Series, International TV Shows"
TV Show,**Korean Pork Belly Rhapsody**,01/04/2021,2020,",?TV-G","Docuseries, International TV Shows"
Movie,**Labyrinth**,09/01/2021,1986(,",?PG","Action & Adventure, Children & Family Movies, Cult Movies"
Movie,**Letters to Juliet**,09/01/2021,2010(,",?PG","Comedies, Dramas, Romantic Movies"
Movie,**Level 16**,09/01/2021,2018S,",?TV-14","Sci-Fi & Fantasy, Thrillers"
Movie,**Love Don't Cost a Thing**,09/01/2021,2003s,",?PG-13","Comedies, Romantic Movies"
Movie,**Love in a Puff**,09/01/2021,2010S,",?TV-MA","Comedies, Dramas, International Movies"
TV Show,**Running Man**,01/01/2021,2020C,",?TV-Y7","Kids' TV, TV Comedies"
Movie,**Mars Attacks!**,09/01/2021,1996c,",?PG-13","Comedies, Cult Movies, Sci-Fi & Fantasy"
Movie,**Marshall**,09/01/2021,2017S,",?PG-13",Dramas
Movie,**My Boss's Daughter**,09/01/2021,2003c,",?R","Comedies, Romantic Movies"
Movie,**Mystery Men**,09/01/2021,1999,",?PG-13","Action & Adventure, Comedies"
Movie,**Best of Stand-Up 2020**,12/31/2020,2020,",?TV-MA",Stand-Up Comedy
Movie,**Once Upon a Time in America**,09/01/2021,1984C,",?R","Classic Movies, Dramas"
Movie,**Open Season 2**,09/01/2021,2008c,",?PG","Children & Family Movies, Comedies"
Movie,**Osmosis Jones**,09/01/2021,2001,",?PG","Action & Adventure, Children & Family Movies, Comedies"
Movie,**Poseidon**,09/01/2021,2006(,",?PG-13","Action & Adventure, Dramas"
TV Show,**Transformers: War for Cybertron: Earthrise**,12/30/2020,2020s,",?TV-Y7",Anime Series
TV Show,**Manhunt: Deadly Games**,12/07/2020,2020c,",?TV-14","Crime TV Shows, TV Dramas, TV Mysteries"
TV Show,**The Great British Baking Show: Holidays**,12/04/2020,2020c,",?TV-MA","British TV Shows, Reality TV"
TV Show,**Heart & Soul**,11/20/2020,2019C,",?TV-14","International TV Shows, TV Dramas"
Movie,**Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón**,11/03/2020,2020(,",?TV-PG",Documentaries
TV Show,**Kongsuni and Friends**,10/30/2020,2020s,",?TV-Y","Kids' TV, Korean TV Shows"
TV Show,**Pat a Pat Como**,10/03/2020,2016(,",?TV-Y",Kids' TV
TV Show,**Qurious Como**,10/03/2020,2017),",?TV-Y",Kids' TV
TV Show,**Find Yourself**,1/29/2020,2020,",?TV-14","International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,**Journey of an African Colony**,10/01/2020,2018(,",?TV-MA","Docuseries, International TV Shows"
TV Show,**Mighty Little Bheem**,9/25/2020,2020,",?TV-Y","Kids' TV, TV Comedies"
Movie,**Rhyme & Reason**,09/01/2021,1997S,",?R","Documentaries, Music & Musicals"
Movie,**Same Kind of Different as Me**,09/01/2021,2017c,",?PG-13","Dramas, Faith & Spirituality"
,**School of Rock**,09/01/2021,2003(,",?PG-13","Comedies, Music & Musicals"
,**Snervous Tyler Oakley**,09/01/2021,2015,",?PG-13","Documentaries, LGBTQ Movies"
,**Tears of the Sun**,09/01/2021,2003S,",?R","Action & Adventure, Dramas"
,**The Blue Lagoon**,09/01/2021,1980C,",?R","Dramas, Romantic Movies"
,**The Golden Child**,09/01/2021,1986C,",?PG-13","Action & Adventure, Comedies"
,**The Guns of Navarone**,09/01/2021,1961,",?TV-14","Action & Adventure, Classic Movies"
,**The Interview**,09/01/2021,2014s,",?R","Action & Adventure, Comedies"
,**The Nutty Professor**,09/01/2021,1996(,",?PG-13","Comedies, Romantic Movies"
,**The Nutty Professor II: The Klumps**,09/01/2021,2000(,",?PG-13","Comedies, Romantic Movies"
,**Welcome Home Roscoe Jenkins**,09/01/2021,2008C,",?PG-13",Comedies
,**In the Line of Fire**,8/31/2021,1993s,",?R","Action & Adventure, Classic Movies"
,**Untold: Crime & Penalties**,8/31/2021,2021s,",?TV-MA","Documentaries, Sports Movies"
,**Zulu Man in Japan**,9/25/2020,2019,",?TV-MA","Documentaries, International Movies, Music & Musicals"
,**Fukrey Boyzzz**,9/19/2020,2020C,",?TV-Y","Kids' TV, TV Comedies"
Movie,**2 Alone in Paris**,8/28/2021,2008S,",?TV-MA","Comedies, International Movies"
TV Show,**Transformers: Cyberverse**,09/07/2020,2020(,",?TV-Y7",Kids' TV
TV Show,**The Witcher: A Look Inside the Episodes**,09/02/2020,2020S,",?TV-MA","Docuseries, TV Sci-Fi & Fantasy"
TV Show,**Dérè: An African Tale**,8/15/2020,2016(,",?TV-PG","International TV Shows, Romantic TV Shows, TV Dramas"
TV Show,**Street Food: Latin America**,7/21/2020,2020C,",?TV-PG","Docuseries, Spanish-Language TV Shows"
Movie,**Little Singham: Legend of Dugabakka**,7/15/2020,2020c,",?TV-Y7","Children & Family Movies, Comedies"
Movie,**Seven (Telugu)**,6/26/2020,2019,",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**Thimmarusu**,8/28/2021,2021s,",?TV-14","Dramas, International Movies"
Movie,**Wind River**,8/28/2021,2017),",?R","Dramas, Independent Movies"
Movie,**C Kkompany**,8/27/2021,2008),",?TV-14","Action & Adventure, Comedies, International Movies"
Movie,**He's All That**,8/27/2021,2021C,",?TV-14","Comedies, Romantic Movies"
TV Show,**Dating Around**,06/12/2020,2020(,",?TV-MA","Reality TV, Romantic TV Shows"
Movie,**EMI: Liya Hai To Chukana Padega**,8/27/2021,2008),",?TV-14","Comedies, Dramas, International Movies"
TV Show,**First and Last**,09/07/2018,2018s,",?TV-MA",Docuseries
TV Show,**King of Boys: The Return of the King**,8/27/2021,2021C,",?TV-MA","Crime TV Shows, International TV Shows, TV Dramas"
